original_title,english_title,rating,year,film_poster,genres
Hacksaw Ridge,,8.03,2016,https://fwcdn.pl/fpo/88/02/658802/7754988_1.7.webp,Biograficzny;Dramat;Wojenny
The Prestige,,8.03,2006,https://fwcdn.pl/fpo/99/45/259945/7536864_2.7.webp,Dramat;Thriller
Star Wars: Episode V - The Empire Strikes Back,,8.03,1980,https://fwcdn.pl/fpo/05/25/525/8020805_1.7.webp,Przygodowy;Sci-Fi
Il buono, il brutto, il cattivo.,,8.02,1966,https://fwcdn.pl/fpo/51/03/5103/7530235_1.7.webp,Western
Avengers: Infinity War,,8.02,2018,https://fwcdn.pl/fpo/37/58/693758/7839647_2.7.webp,Akcja;Sci-Fi
Dune: Part Two,,8.01,2024,https://fwcdn.pl/fpo/34/81/10003481/8151312.7.webp,Sci-Fi
Star Wars: Episode VI - Return of the Jedi,,8.01,1983,https://fwcdn.pl/fpo/05/47/547/7885578_1.7.webp,Przygodowy;Sci-Fi
Once Upon a Time in America,,8.01,1984,https://fwcdn.pl/fpo/10/38/1038/7618279_1.7.webp,Dramat;Gangsterski
The Help,,8.0,2011,https://fwcdn.pl/fpo/71/27/567127/7435839_1.7.webp,Dramat
Casino,,8.0,1995,https://fwcdn.pl/fpo/10/29/1029/8023037_1.7.webp,Dramat;Gangsterski
The Lord of the Rings: The Fellowship of the Ring,,7.99,2001,https://fwcdn.pl/fpo/10/65/1065/7912491_1.7.webp,Fantasy;Przygodowy
The Dark Knight,,7.99,2008,https://fwcdn.pl/fpo/63/51/236351/8143261.7.webp,Akcja;Sci-Fi
Heat,,7.99,1995,https://fwcdn.pl/fpo/06/60/660/8021891_1.7.webp,Sensacyjny
Gi-saeng-chung,,7.99,2019,https://fwcdn.pl/fpo/81/43/798143/7895390_2.7.webp,Dramat
Amadeus,,7.99,1984,https://fwcdn.pl/fpo/12/86/1286/7340682_1.7.webp,Biograficzny;Muzyczny
The Pursuit of Happyness,,7.98,2006,https://fwcdn.pl/fpo/00/46/240046/7131963_1.7.webp,Biograficzny;Dramat obyczajowy
Inglourious Basterds,,7.98,2009,https://fwcdn.pl/fpo/77/47/137747/7276639_2.7.webp,Wojenny
